Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
11,4,0.7278,4.367,2778.0,0.001565,0.9929309999999999,AAR2 CD2BP2 DDX23 NCDN,"spliceosomal tri-snRNP complex assembly|ribonucleoprotein complex assembly|ribonucleoprotein complex subunit organization|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",2.967e-06|3.217e-06|3.581e-06|1.272e-05|1.272e-05,0.0468|0.02537|0.01883|0.05015|0.04012,792.1|81.3|78.41|51.15|51.15
12,12,0.633,41.78,10300.0,0.00403,0.999986,AARD C8orf76 COL14A1 FBXO32 KLHL38 MTSS1 NETO2 NOV RNF139 SLC30A8 TRMT12 ZHX2,epithelial cell proliferation|nephron tubule epithelial cell differentiation|smooth muscle cell proliferation|regulation of kainate selective glutamate receptor activity|negative regulation of sensory perception of pain,0.001695|0.002037|0.002037|0.002715|0.002715,1|1|1|1|1,33.06|735.5|735.5|490.4|490.4
13,8,0.6738,18.87,5730.0,0.0032719999999999997,0.9996790000000001,AARS CENPT EXOSC6 NIP7 SF3B3 SLC7A6OS TANGO6 UTP4,ribosome biogenesis|ribonucleoprotein complex biogenesis|protein localization to kinetochore involved in kinetochore assembly|polyadenylation-dependent snoRNA 3'-end processing|RNA processing,0.0001421|0.0003808|0.0006794|0.002715|0.002765,1|1|1|1|1,26.59|18.98|2942|420.3|9.563
14,93,0.498,2130.0,64600.0,0.03184,1.0,AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL53 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTG2 MTPAP NARS2 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB2M TRMT10C TRUB2 TWNK VARS2,mitochondrial gene expression|mitochondrial translation|mitochondrial translational elongation|mitochondrial translational termination|translation,1.154e-142|1.058e-130|3.269e-116|1.396e-113|1.86e-113,1.82e-138|8.344e-127|1.719e-112|5.505e-110|5.869e-110,119.5|137.2|153.6|149.4|43.58
15,6,0.6554,9.831,3819.0,0.00256,0.998474,AASDHPPT ACACA ACLY FASN GPAT4 SLC25A1,acyl-CoA metabolic process|thioester metabolic process|purine nucleoside bisphosphate metabolic process|ribonucleoside bisphosphate metabolic process|nucleoside bisphosphate metabolic process,1.611e-11|1.611e-11|7.484e-11|7.484e-11|7.484e-11,2.541e-07|1.27e-07|3.935e-07|2.951e-07|2.361e-07,176.9|176.9|129|129|129
16,10,0.6553,29.49,6835.0,0.0042829999999999995,0.999933,AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL19 RPL23 RPL27 ZNF830,negative regulation of G2/M transition of mitotic cell cycle|negative regulation of cell cycle G2/M phase transition|negative regulation of cell cycle process|DNA-dependent DNA replication|pre-replicative complex assembly,6.653e-10|1.119e-09|3.905e-09|1.936e-08|2.381e-08,1.049e-05|8.823e-06|2.053e-05|7.635e-05|7.513e-05,106.2|95.35|36.89|53.08|126.7
17,5,0.6548,6.547999999999999,4232.0,0.001541,0.996692,AATK BAIAP2 PYCR1 SLC25A10 SLC38A10,"carboxylic acid transmembrane transport|organic acid transmembrane transport|modification of synaptic structure, modulating synaptic transmission|oxaloacetate(2-) transmembrane transport|malate transmembrane transport",0.0004786|0.0004853|0.0004854|0.001213|0.001213,1|1|1|1|1,58.01|57.61|4119|1030|1030
18,8,0.6725,18.83,6155.0,0.003042,0.9996790000000001,ABCA2 ENTPD2 FAM69B LCN10 LCN15 LCN6 LCN8 TUBB4B,negative regulation of cholesterol esterification|negative regulation of intracellular cholesterol transport|negative regulation of intracellular sterol transport|negative regulation of intracellular lipid transport|negative regulation of receptor-mediated endocytosis involved in cholesterol transport,0.0007765|0.001164|0.001164|0.001164|0.001164,1|1|1|1|1,2574|1287|1287|1287|1287
19,10,0.6694,30.12,7105.0,0.00421,0.999933,ALG14 BCAS2 CDC7 DDX20 DNTTIP2 PRPF38B RNPC3 RPAP2 RPL5 WDR3,nucleic acid metabolic process|RNA processing|RNA metabolic process|nucleobase-containing compound metabolic process|heterocycle metabolic process,7.09e-07|1.485e-06|1.678e-06|3.271e-06|5.435e-06,0.01118|0.01171|0.008823|0.0129|0.01715,7.382|13.39|9.016|6.06|5.674
20,4,0.6563,3.938,3135.0,0.001251,0.9929309999999999,ABCB1 RAET1G ULBP1 ULBP3,natural killer cell mediated cytotoxicity|natural killer cell mediated immunity|leukocyte mediated cytotoxicity|cell killing|lymphocyte mediated immunity,8.026e-09|1.003e-08|3.148e-08|8.274e-07|7.608e-06,0.0001266|7.907e-05|0.0001655|0.003263|0.024,643.6|594.1|396.1|128.7|60.81
21,6,0.6614,9.921,4837.0,0.002042,0.998474,ABCB11 BBS5 CRYGA CRYGB CRYGC CRYGD,visual perception|sensory perception of light stimulus|lens development in camera-type eye|camera-type eye development|sensory perception,8.078e-10|8.841e-10|3.143e-09|8.574e-07|1.376e-06,1.274e-05|6.973e-06|1.653e-05|0.003381|0.004342,79.46|78.01|180.7|43.18|17.64
22,18,0.5879,89.95,14620.0,0.006097999999999999,1.0,ABCB5 ADCYAP1R1 AEBP1 AGR2 AGR3 DPY19L1 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 INMT KIAA0895 MTURN MYO1G NME8 NPY PRR15,embryonic skeletal system morphogenesis|embryonic skeletal system development|lung goblet cell differentiation|lobar bronchus epithelium development|lobar bronchus development,1.397e-06|3.811e-06|7.191e-06|1.078e-05|1.509e-05,0.02203|0.03006|0.03781|0.04251|0.04759,48.69|37.51|762.8|572.1|457.7
23,54,0.4594,657.4,41460.0,0.015569999999999999,1.0,ABCC6 ACSM1 ACSM3 ACSM5 AHSP BCKDK BFAR C16orf45 C16orf92 CA5A CCDC189 CLN3 DCTPP1 DOC2A FAM57B HIRIP3 HS3ST2 HSD3B7 ITGAD ITGAL ITGAM ITGAX LAT MPV17L MYH11 NOMO1 NOMO2 NPIPA5 NPIPB6 PDZD9 PKD1 PLA2G10 PYCARD SBK1 SCNN1B SCNN1G SEPT1 SLC5A2 STX1B SULT1A1 SULT1A2 SYT17 TBX6 TMC7 VKORC1 YPEL3 ZG16 ZNF688 ZNF689 ZNF747 ZNF764 ZNF771 ZNF785 ZNF843,integrin-mediated signaling pathway|purine nucleoside bisphosphate metabolic process|ribonucleoside bisphosphate metabolic process|nucleoside bisphosphate metabolic process|carbohydrate derivative transport,2.996e-07|3.014e-05|3.014e-05|3.014e-05|5.162e-05,0.004726|0.2377|0.1585|0.1188|0.1628,23.35|14.34|14.34|14.34|20.62
24,4,0.6771,4.063,3409.0,0.001188,0.9929309999999999,ABCC10 HLA-DPA1 HLA-DPB1 ZNF76,positive regulation of interferon-gamma production|interferon-gamma-mediated signaling pathway|antigen processing and presentation of exogenous peptide antigen via MHC class II|antigen processing and presentation of peptide antigen via MHC class II|positive regulation of T cell proliferation,6.606e-05|7.603e-05|0.0001419|0.0001476|0.0001476,1|0.5997|0.7462|0.582|0.4656,153.7|143|104|102|102
25,43,0.4628,417.9,34910.0,0.0118,1.0,ABCC11 ABCC12 ADGRG5 C16orf78 CA7 CES1 CES2 CES3 CES4A CES5A CHST5 CLEC18A CLEC18B CLEC18C CMTM1 CPNE2 CTRB1 DPEP2 DUS2 FUK GLG1 HP HSD11B2 IRX6 LCAT LDHD MMP15 MT1A MT1F MT1M MT4 MTSS1L NLRC5 NRN1L PDP2 PDPR PLA2G15 PLLP SHCBP1 TMED6 ZDHHC1 ZNF19 ZNF23,detoxification of copper ion|stress response to copper ion|detoxification of inorganic compound|stress response to metal ion|cellular response to zinc ion,4.787e-12|4.787e-12|8.609e-12|1.131e-11|4.657e-11,7.552e-08|3.776e-08|4.527e-08|4.46e-08|1.469e-07,175.5|175.5|156|147.8|112.3
26,26,0.5773,187.6,14850.0,0.012440000000000001,1.0,ADSL ADSS ATIC CAD CTPS1 DHFR DHODH FPGS GART GMPS IMPDH2 MTHFD1 MTR NAMPT PAICS PFAS PGM3 PPAT PPCDC RFK RPIA SDHB TFRC TKT UMPS UXS1,ribonucleoside monophosphate biosynthetic process|ribose phosphate biosynthetic process|nucleotide biosynthetic process|nucleoside phosphate biosynthetic process|nucleoside monophosphate biosynthetic process,1.977e-27|2.346e-27|2.462e-27|3.078e-27|2.49e-26,3.118e-23|1.851e-23|1.295e-23|1.214e-23|7.857e-23,246.8|66.05|52.22|51.54|196.3
27,11,0.6651,36.58,7671.0,0.004732,0.999969,ABCE1 COPB2 PSMA1 PSMA2 PSMA5 PSMA6 SMU1 SNRPD1 SNU13 SRP54 VCP,proteasomal ubiquitin-independent protein catabolic process|positive regulation of canonical Wnt signaling pathway|protein-containing complex subunit organization|positive regulation of Wnt signaling pathway|regulation of cellular amino acid metabolic process,9.785e-10|1.553e-08|1.685e-08|4.158e-08|5.583e-08,1.543e-05|0.0001225|8.859e-05|0.000164|0.0001761,312|58.38|9.77|47.67|105.6
28,11,0.6852,37.69,7772.0,0.0048119999999999994,0.999969,ABCF1 DHX16 MRPS18B NOL7 NUP153 PPP1R10 PRPF4B RIOK1 SNRNP48 TUBB4B WDR46,"gene expression|RNA processing|maturation of SSU-rRNA|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",2.002e-06|6.746e-05|0.0003386|0.0004851|0.0004851,0.03159|0.5321|1|1|1,6.852|10.14|74.89|18.6|18.6
29,5,0.6547,6.547000000000001,3595.0,0.001813,0.996692,ABCF2 DRG1 HSPA14 TRMT2A ZC3H15,cytoplasmic translation|'de novo' cotranslational protein folding|peripheral nervous system myelin maintenance|myelin maintenance|regulation of mitotic spindle assembly,0.0002861|0.001019|0.003054|0.005763|0.006777,1|1|1|1|1,78.46|1471|367.8|183.9|154.8
30,6,0.6926,10.39,4443.0,0.002327,0.998474,ABCF3 NFIA NFIB NFIC NFIX PTGES3,DNA replication|cellular macromolecule biosynthetic process|macromolecule biosynthetic process|positive regulation of macromolecule biosynthetic process|positive regulation of nucleobase-containing compound metabolic process,4.563e-07|1.891e-05|2.133e-05|3.296e-05|3.641e-05,0.007198|0.1492|0.1122|0.13|0.1149,50.66|10.37|10.12|9.262|9.076
31,10,0.6549,29.47,6771.0,0.004321,0.999933,ABCG1 DUX4 HSPE1 OR2A25 RPL12 RPL17 RPL37 RPL4 RPLP2 RPS13,SRP-dependent cotranslational protein targeting to membrane|cotranslational protein targeting to membrane|protein targeting to ER|establishment of protein localization to endoplasmic reticulum|viral transcription,5.739e-12|7.695e-12|1.329e-11|1.632e-11|1.716e-11,9.053e-08|6.069e-08|6.987e-08|6.434e-08|5.413e-08,117|111.2|101.2|97.68|96.84
32,16,0.4496,53.96,12040.0,0.004449,0.999999,ADAMTSL5 CCDC73 CYBC1 DDC DEF8 FDX1 KCNK13 NAT8L RDH10 RPH3A SELE SLC5A12 TNFRSF19 TRAK1 UCKL1 WNT8A,primary lung bud formation|positive regulation of retinoic acid biosynthetic process|positive regulation of isoprenoid metabolic process|neural crest cell differentiation|polarity specification of proximal/distal axis,0.001552|0.001552|0.001552|0.002222|0.002327,1|1|1|1|1,1287|1287|1287|28.93|643.6
33,13,0.6547,51.07,10000.0,0.005065999999999999,0.999993,ABHD11 ASL CASTOR3 CLDN3 CYP3A5 GNAT3 GUSB TRIM50 TYW1 ZNF679 ZNF727 ZNF736 ZNF92,arginine biosynthetic process via ornithine|'de novo' AMP biosynthetic process|alkaloid catabolic process|cellular response to L-arginine|regulation of transepithelial transport,0.002037|0.002715|0.002715|0.002715|0.003392,1|1|1|1|1,735.5|490.4|490.4|490.4|367.8
34,20,0.6024,114.5,15590.0,0.007268999999999999,1.0,ABHD12 ACSS1 APMAP CST1 CST11 CST2 CST3 CST4 CST5 CST7 CST8 CST9 CST9L CSTL1 GGTLC1 NANP NAPB NINL PCSK2 ZNF337,negative regulation of endopeptidase activity|negative regulation of peptidase activity|negative regulation of proteolysis|regulation of endopeptidase activity|regulation of peptidase activity,1.329e-16|2.034e-16|4.95e-15|4.613e-14|9.128e-14,2.096e-12|1.605e-12|2.603e-11|1.819e-10|2.88e-10,46.23|44.42|32.93|26.72|25.06
35,21,0.4821,101.2,16530.0,0.006072999999999999,1.0,ABHD14A ABHD14B CACNA2D2 CAMP CCR9 DNAH1 GLYCTK GNAT1 IQCF1 IQCF2 IQCF3 IQCF5 ITIH3 ITIH4 KRBOX1 MUSTN1 NISCH NT5DC2 SEMA3G TLR9 ZNF502,hyaluronan metabolic process|positive regulation of interleukin-8 production|norepinephrine secretion|catecholamine secretion|regulation of interleukin-8 production,0.0006331|0.001915|0.002133|0.003198|0.003428,1|1|1|1|1,56.74|31.73|936.1|468.1|23.4
36,4,0.6585,3.951,3084.0,0.001276,0.9929309999999999,ABHD16A HSPA1L LY6G6F MSH5,prostaglandin catabolic process|prostanoid catabolic process|phosphatidylserine catabolic process|meiotic mismatch repair|monoacylglycerol catabolic process,0.0005825|0.0005825|0.0009706|0.001165|0.001553,1|1|1|1|1,2574|2574|1287|1030|735.5
37,12,0.6531,43.1,9285.0,0.004609,0.999986,BICDL2 CLDN6 CLDN9 CLUAP1 CORO7 HAGH HMOX2 OR1F1 PAQR4 PRSS21 ZNF213 ZNF500,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules|bicellular tight junction assembly|tight junction assembly|tight junction organization|apical junction assembly,7.812e-05|0.00054|0.0005765|0.0006142|0.0007136,1|1|1|1|1,163.5|59.18|57.21|55.36|51.23
38,15,0.5758,60.46,12080.0,0.004966,0.999999,ABHD3 B4GALT6 CELF4 CHST9 CTIF DSC1 DSG1 DSG3 DSG4 HRH4 KIAA1328 MAPRE2 SERPINB7 ZNF396 ZNF397,cornification|homophilic cell adhesion via plasma membrane adhesion molecules|keratinization|cell-cell adhesion via plasma-membrane adhesion molecules|keratinocyte differentiation,1.283e-06|5.815e-06|1.873e-05|3.167e-05|3.612e-05,0.02024|0.04586|0.09846|0.1249|0.1139,48.6|32.89|24.3|21.2|20.49
39,4,0.7854,4.713,3129.0,0.0015,0.9929309999999999,ABHD5 BLCAP MARCH6 TMX1,response to endoplasmic reticulum stress|negative regulation of sequestering of triglyceride|positive regulation of lipoprotein lipase activity|positive regulation of triglyceride catabolic process|positive regulation of triglyceride lipase activity,0.0009364|0.001165|0.001941|0.001941|0.002134,1|1|1|1|1,39.91|1030|572.1|572.1|514.9
40,16,0.6214,74.56,10360.0,0.007126,0.999999,ABI1 ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 BRK1 COMMD3 COMMD8 NCKAP1 RAC1 WASF2 WASHC3 WASHC4 WASHC5 WASL,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis|Fc-gamma receptor signaling pathway involved in phagocytosis|Fc-gamma receptor signaling pathway|Fc receptor mediated stimulatory signaling pathway|positive regulation of protein polymerization,6.508e-21|6.508e-21|7.596e-21|8.2e-21|8.019e-19,1.027e-16|5.133e-17|3.994e-17|3.234e-17|2.53e-15,104.9|104.9|103.4|102.6|103
41,7,0.6595,13.85,4884.0,0.0028190000000000003,0.9992989999999999,ABL1 BCR GAB2 LMO2 PTPN1 QRFP SOS1,platelet-derived growth factor receptor signaling pathway|transmembrane receptor protein tyrosine kinase signaling pathway|enzyme linked receptor protein signaling pathway|regulation of hematopoietic progenitor cell differentiation|platelet-derived growth factor receptor-beta signaling pathway,2.016e-07|2.103e-07|1.098e-06|3.076e-06|4.447e-06,0.00318|0.001658|0.005774|0.01213|0.01403,252.2|28.34|20.26|98.07|735.5
42,11,0.617,33.93,8396.0,0.0040149999999999995,0.999969,ANO1 CPT1A FGF19 FGF4 GAL IGHMBP2 MRGPRD MRGPRF MYEOV TESMIN ZNF20,regulation of hormone secretion|fibroblast growth factor receptor signaling pathway|feeding behavior|positive regulation of large conductance calcium-activated potassium channel activity|positive regulation of timing of catagen,0.0007999|0.001413|0.001447|0.002037|0.002037,1|1|1|1|1,15.99|36.32|35.88|735.5|735.5
43,10,0.6704,30.17,7590.0,0.003949,0.999933,CLDN6 CLDN9 CORO7 OR1F1 OR2C1 PAQR4 PRSS21 PRSS27 ZNF213 ZSCAN10,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules|bicellular tight junction assembly|tight junction assembly|tight junction organization|apical junction assembly,5.334e-05|0.0003696|0.0003947|0.0004206|0.0004888,0.8414|1|1|1|1,196.1|71.02|68.65|66.44|61.48
44,5,0.6627,6.627000000000001,4035.0,0.0016359999999999999,0.996692,ABR FAM57A OR3A1 P2RX5 TNFSF12,positive regulation of apoptotic process|positive regulation of programmed cell death|positive regulation of calcium-mediated signaling|response to ATP|positive regulation of cell death,0.006769|0.007132|0.007985|0.008226|0.008755,1|1|1|1|1,15.01|14.61|128.7|124.8|13.14
45,16,0.9543,114.5,10220.0,0.01105,0.999999,ACBD5 ACOX1 HSD17B4 PEX1 PEX10 PEX12 PEX13 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 SCP2,protein targeting to peroxisome|establishment of protein localization to peroxisome|protein localization to peroxisome|peroxisomal transport|peroxisome organization,1.993e-36|1.993e-36|1.993e-36|2.386e-36|7.979e-36,3.143e-32|1.572e-32|1.048e-32|9.409e-33|2.517e-32,228.8|228.8|228.8|226|208
46,57,0.6344,1012.0,38140.0,0.02578,1.0,ACAD9 COA6 COA7 COQ2 COQ4 COQ7 COX4I1 COX7C CYC1 DMAC1 ECSIT FASTKD5 FOXRED1 GRSF1 NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA5 NDUFA6 NDUFA8 NDUFA9 NDUFAF1 NDUFAF3 NDUFAF4 NDUFAF6 NDUFAF7 NDUFAF8 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB5 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NFU1 NUBPL PDSS2 PET117 PYURF RTN4IP1 TIMMDC1 UQCR10 UQCRC1 UQCRC2,NADH dehydrogenase complex assembly|mitochondrial respiratory chain complex I assembly|mitochondrial respiratory chain complex assembly|ATP synthesis coupled electron transport|mitochondrial ATP synthesis coupled electron transport,3.144e-79|3.144e-79|6.785e-76|3.924e-65|7.127e-63,4.96e-75|2.48e-75|3.568e-72|1.548e-61|2.249e-59,213.5|213.5|143.1|140.5|138
47,4,0.6512,3.907,3480.0,0.001119,0.9929309999999999,ACADM BSDC1 C1QB TSSK3,"carnitine metabolic process, CoA-linked|carnitine biosynthetic process|medium-chain fatty acid catabolic process|amino-acid betaine biosynthetic process|fatty acid beta-oxidation using acyl-CoA dehydrogenase",0.0007766|0.001165|0.001165|0.001553|0.002134,1|1|1|1|1,1716|1030|1030|735.5|514.9
48,14,0.6599,60.05,11260.0,0.005294,0.9999969999999999,ADCYAP1R1 AEBP1 AGR2 AGR3 GHRHR HOXA5 HOXA6 HOXA7 HOXA9 KIAA0895 NME8 RBAK RSPH10B2 ZNF12,embryonic skeletal system morphogenesis|embryonic skeletal system development|lung goblet cell differentiation|lobar bronchus epithelium development|lobar bronchus development,4.639e-07|1.272e-06|4.28e-06|6.418e-06|8.982e-06,0.007318|0.01003|0.02251|0.02531|0.02834,62.6|48.23|980.7|735.5|588.4
49,17,0.6544,89.0,13630.0,0.006470999999999999,1.0,ACADVL ALDH3A1 ALOX15 ALOXE3 ASGR2 CCDC144A MFSD6L MYH2 MYH4 MYH8 SAT2 SHBG SLC2A4 TMEM256 TNFSF12 TNFSF13 VAMP2,actin-myosin filament sliding|muscle filament sliding|hepoxilin biosynthetic process|hepoxilin metabolic process|actin-mediated cell contraction,5.838e-06|5.838e-06|3.943e-05|3.943e-05|6.688e-05,0.09208|0.04604|0.2073|0.1555|0.211,90.33|90.33|254.3|254.3|38.57
50,7,0.6658,13.98,5232.0,0.0026579999999999998,0.9992989999999999,ACAP1 OR1A1 OR1D5 OR1E2 OR3A1 OVCA2 P2RX1,detection of chemical stimulus involved in sensory perception of smell|sensory perception of smell|detection of chemical stimulus involved in sensory perception|detection of chemical stimulus|sensory perception of chemical stimulus,7.139e-06|9.014e-06|1.045e-05|1.383e-05|1.603e-05,0.1126|0.07109|0.05496|0.05454|0.05056,26.69|25.15|24.22|22.55|21.71
51,7,0.686,14.41,4742.0,0.00302,0.9992989999999999,ACAP2 ARF6 RAB35 RAB8A RABIF SBF1 SBF2,endocytic recycling|endosomal transport|cellular response to nerve growth factor stimulus|response to nerve growth factor|protein localization to endosome,3.162e-07|5.816e-07|6.607e-07|7.352e-07|8.988e-06,0.004988|0.004587|0.003474|0.002899|0.02835,215.3|50.51|166.5|160.5|490.4
52,9,0.6564,23.63,6110.0,0.003841,0.9998530000000001,ACAT2 FDFT1 FDPS HSD17B7 LSS MSMO1 MVD SC5D SQLE,secondary alcohol biosynthetic process|cholesterol biosynthetic process|sterol biosynthetic process|cholesterol metabolic process|secondary alcohol metabolic process,1.114e-23|1.114e-23|3.445e-23|8.895e-23|1.883e-22,1.756e-19|8.782e-20|1.812e-19|3.508e-19|5.94e-19,463.4|463.4|402.9|167.4|154.8
